scientific_name,common_name,genus,img_url
Lactuca virosa L.,Lactuca,Lactuca,https://bs.plantnet.org/image/o/df9d84f97a98e0f99249d2adc8995e90a4a01936
Pelargonium capitatum (L.) L'Hér.,Pelargonium,Pelargonium,https://bs.plantnet.org/image/o/8bfa061ad68c420272b8cca96cac7b27d3d7d8db
Pelargonium graveolens L'Hér.,,,
Cirsium arvense (L.) Scop.,Cirsium,Cirsium,https://bs.plantnet.org/image/o/f5bc914e06bf60906912a143d2ac2927b0ef1ee7
Cirsium vulgare (Savi) Ten.,Cirsium,Cirsium,https://bs.plantnet.org/image/o/5e6ecb73feae1db8e75761ec060a62ce7a612fd6
Pelargonium odoratissimum (L.) L'Hér.,Pelargonium,Pelargonium,https://bs.plantnet.org/image/o/3981e960478785fbc5d92cb89c493a2b8a0e8097
Pelargonium peltatum (L.) L'Hér.,Pelargonium,Pelargonium,https://bs.plantnet.org/image/o/95443babc75808ae382863d6d33ef7fe1bc1f1fc
Pelargonium quercifolium (L. f.) L'Hér.,,,
Pelargonium zonale (L.) L'Hér.,Pelargonium,Pelargonium,https://bs.plantnet.org/image/o/84c321b4a9d89d74dac128df3004d12ae11778eb
Mercurialis annua L.,Mercurialis,Mercurialis,https://bs.plantnet.org/image/o/b462de2734f756067019d0dbebb46fba0a0dfdc7
Phyllanthus tenellus Roxb.,Phyllanthus,Phyllanthus,https://bs.plantnet.org/image/o/8491da86cc3bdfb0d025a291b2f34acedeb60821
Hypericum perforatum L.,Hypericum,Hypericum,https://bs.plantnet.org/image/o/f3cde745f9d0371eff3ee42cc4e201c7e0cf3ec2
Egeria densa Planch.,,,
Ibicella lutea (Lindl.) Van Eselt.,Ibicella,Ibicella,https://bs.plantnet.org/image/o/30be3f18fdd3edaf9ae2bf1f9bcc684074e241ff
Tradescantia fluminensis Vell.,Tradescantia,Tradescantia,https://bs.plantnet.org/image/o/4fa99b5be37a22c90f9e985bfc5d53e0f3fc6a35
Tradescantia zebrina Heynh. ex Bosse,,,
Lamium amplexicaule L.,Lamium,Lamium,https://bs.plantnet.org/image/o/790953212af54654e3d10cf308cc7546d7c6f066
Lavandula dentata L.,Lavandula,Lavandula,https://bs.plantnet.org/image/o/5670dbe22c8d9af60fd997751949fe9d308f2e25
Striga asiatica (L.) Kuntze,Striga,Striga,https://bs.plantnet.org/image/o/37df8c67965e678b5965ed2f3b22a6807880ed05
Melilotus albus Medik.,Melilotus,Melilotus,https://bs.plantnet.org/image/o/43dfe51d3bcdd3f7723e5e8323e05242e55b0c65
Trifolium fragiferum L.,Trifolium,Trifolium,https://bs.plantnet.org/image/o/c9103d0c7204fb32419ec26185f751c0b17acc02
Asystasia gangetica (L.) T. Anderson,,,
Nymphaea nouchali Burm. f.,,,
Dryopteris aemula (Aiton) Kuntze,Dryopteris,Dryopteris,https://bs.plantnet.org/image/o/480562f52a73ca98fca91d5d424092dd305d0c75
Dryopteris affinis (Lowe) Fraser-Jenk.,,,
Dryopteris filix-mas (L.) Schott,Dryopteris,Dryopteris,https://bs.plantnet.org/image/o/9df133e18908430c881ccaa3f24e3c4291abf607
Nephrolepis cordifolia (L.) C. Presl,,,
Nephrolepis exaltata (L.) Schott,Nephrolepis,Nephrolepis,https://bs.plantnet.org/image/o/5339120d1fdd905af00fc563631a3253c47f42ae
Osmunda regalis L.,Osmunda,Osmunda,https://bs.plantnet.org/image/o/6df8f47ceef7828438a388d9d0763bc1b3f529aa
Achyranthes aspera L.,Achyranthes,Achyranthes,https://bs.plantnet.org/image/o/74e1a547f5928c99889f7a918adfbcfb26707f76
Lithodora fruticosa (L.) Griseb.,Lithodora,Lithodora,https://bs.plantnet.org/image/o/fc72bead01b59401b87debc460f783900025f2e9
Humulus lupulus L.,Humulus,Humulus,https://bs.plantnet.org/image/o/339da6c6ab6ec9e1f3a5cd23492d47feeaada2a2
Vaccaria hispanica (Mill.) Rauschert,,,
Spergularia rubra (L.) J. Presl & C. Presl,,,
Moehringia trinervia (L.) Clairv.,Moehringia,Moehringia,https://bs.plantnet.org/image/o/8ae6558b0b0ecd7a9a38bca3ee0cf04c25d95777
Calendula officinalis L.,Calendula,Calendula,https://bs.plantnet.org/image/o/e3a033c325af1a82bd9d4913f467ec32c3309591
